date,close
2026-04-27,677.9916381835938
2026-04-28,670.7183837890625
2026-04-29,668.5004272460938
2026-04-30,611.3433837890625
2026-05-01,608.1863403320312
2026-05-04,609.8447875976562
2026-05-05,604.3998413085938
2026-05-06,612.3125
2026-05-07,616.2388305664062
2026-05-08,609.0654907226562
2026-05-11,598.3054809570312
2026-05-12,602.441650390625
2026-05-13,616.0590209960938
2026-05-14,617.8573608398438
2026-05-15,613.6612548828125
2026-05-18,610.64404296875
2026-05-19,602.052001953125
2026-05-20,604.499755859375
2026-05-21,606.8175659179688
2026-05-22,609.6949462890625
2026-05-26,611.7730102539062
2026-05-27,634.6718139648438
2026-05-28,634.7017211914062
2026-05-29,631.92431640625
2026-06-01,599.9139404296875
2026-06-02,597.0765991210938
2026-06-03,622.4031372070312
2026-06-04,626.9888916015625
2026-06-05,592.450927734375
2026-06-08,584.8479614257812
2026-06-09,584.0487060546875
2026-06-10,570.4512939453125
2026-06-11,567.9036254882812
2026-06-12,566.4549560546875
2026-06-15,593.47998046875
2026-06-16,600.2100219726562
2026-06-17,567.5800170898438
2026-06-18,577.219970703125
2026-06-22,563.8499755859375
2026-06-23,562.2000122070312
2026-06-24,557.6699829101562
2026-06-25,542.8699951171875
2026-06-26,550.25
2026-06-29,562.5999755859375
2026-06-30,563.2899780273438
2026-07-01,612.9099731445312
2026-07-02,582.9000244140625
2026-07-06,600.2899780273438
2026-07-07,615.5800170898438
2026-07-08,603.1199951171875
2026-07-09,631.47998046875
2026-07-10,669.2100219726562
2026-07-13,656.72998046875
2026-07-14,661.0399780273438
2026-07-15,681.3099975585938
2026-07-16,664.5399780273438
2026-07-17,646.010009765625
2026-07-20,645.8499755859375
2026-07-21,643.8099975585938
2026-07-22,627.1699829101562
2026-07-23,606.0999755859375
2026-07-24,595.1900024414062
