date,close
2026-04-27,1119.6578369140625
2026-04-28,1088.3739013671875
2026-04-29,1062.5670166015625
2026-04-30,1082.9066162109375
2026-05-01,1062.4071044921875
2026-05-04,1073.4014892578125
2026-05-05,1094.650634765625
2026-05-06,1118.3885498046875
2026-05-07,1045.0960693359375
2026-05-08,1039.6187744140625
2026-05-11,1072.531982421875
2026-05-12,1071.4324951171875
2026-05-13,1062.02734375
2026-05-14,1089.97314453125
2026-05-15,1048.694091796875
2026-05-18,1011.7330322265624
2026-05-19,1011.2832641601562
2026-05-20,1023.996826171875
2026-05-21,1043.286865234375
2026-05-22,1038.20947265625
2026-05-26,1069.92333984375
2026-05-27,1031.363037109375
2026-05-28,995.4913330078124
2026-05-29,967.8255004882812
2026-06-01,950.0545654296876
2026-06-02,969.1748046875
2026-06-03,958.8700561523438
2026-06-04,962.8380737304688
2026-06-05,933.1331787109376
2026-06-08,933.373046875
2026-06-09,919.6801147460938
2026-06-10,866.647216796875
2026-06-11,906.326904296875
2026-06-12,940.1795654296876
2026-06-15,978.5700073242188
2026-06-16,982.3499755859376
2026-06-17,1048.8599853515625
2026-06-18,1109.72998046875
2026-06-22,1127.5899658203125
2026-06-23,1034.97998046875
2026-06-24,1057.6500244140625
2026-06-25,1085.469970703125
2026-06-26,1045.1700439453125
2026-06-29,1102.510009765625
2026-06-30,1174.8599853515625
2026-07-01,1134.3499755859375
2026-07-02,1113.1099853515625
2026-07-06,1152.0400390625
2026-07-07,1077.0799560546875
2026-07-08,1070.989990234375
2026-07-09,1075.260009765625
2026-07-10,1091.5699462890625
2026-07-13,1042.5999755859375
2026-07-14,1066.010009765625
2026-07-15,1055.280029296875
2026-07-16,1036.219970703125
2026-07-17,1057.8399658203125
2026-07-20,1079.1800537109375
2026-07-21,1078.81005859375
2026-07-22,985.030029296875
2026-07-23,1031.18994140625
2026-07-24,1014.75
