date,close
2026-04-27,199.02195739746097
2026-04-28,186.4241180419922
2026-04-29,190.39398193359375
2026-04-30,196.19915771484375
2026-05-01,193.3863525390625
2026-05-04,190.2044677734375
2026-05-05,194.3239593505859
2026-05-06,192.1195831298828
2026-05-07,197.844970703125
2026-05-08,203.00180053710935
2026-05-11,209.4553375244141
2026-05-12,204.9967041015625
2026-05-13,200.42837524414065
2026-05-14,190.61343383789065
2026-05-15,179.92071533203125
2026-05-18,175.29254150390625
2026-05-19,168.56968688964844
2026-05-20,169.77662658691406
2026-05-21,169.46739196777344
2026-05-22,171.14312744140625
2026-05-26,174.24520874023438
2026-05-27,177.01812744140625
2026-05-28,175.87106323242188
2026-05-29,175.97079467773438
2026-06-01,170.69427490234375
2026-06-02,171.3326416015625
2026-06-03,167.911376953125
2026-06-04,165.22821044921875
2026-06-05,155.04421997070312
2026-06-08,149.45848083496094
2026-06-09,152.4009552001953
2026-06-10,146.84515380859375
2026-06-11,158.65499877929688
2026-06-12,170.4199981689453
2026-06-15,168.89999389648438
2026-06-16,166.11000061035156
2026-06-17,166.55999755859375
2026-06-18,160.35000610351562
2026-06-22,156.69000244140625
2026-06-23,149.97999572753906
2026-06-24,147.83999633789062
2026-06-25,141.0500030517578
2026-06-26,133.6999969482422
2026-06-29,129.72000122070312
2026-06-30,135.02999877929688
2026-07-01,136.0800018310547
2026-07-02,135.55999755859375
2026-07-06,133.8000030517578
2026-07-07,129.02000427246094
2026-07-08,129.3800048828125
2026-07-09,128.4199981689453
2026-07-10,126.0500030517578
2026-07-13,125.79000091552734
2026-07-14,128.75
2026-07-15,124.73999786376952
2026-07-16,119.45999908447266
2026-07-17,120.77999877929688
2026-07-20,118.19999694824219
2026-07-21,118.62000274658203
2026-07-22,117.44999694824219
2026-07-23,116.91000366210938
2026-07-24,114.8499984741211
