date,close
2026-04-27,996.56396484375
2026-04-28,992.5597534179688
2026-04-29,997.2229614257812
2026-04-30,1013.06005859375
2026-05-01,1011.7000122070312
2026-05-04,1012.7899780273438
2026-05-05,1016.4199829101562
2026-05-06,995.75
2026-05-07,1012.0599975585938
2026-05-08,1008.7899780273438
2026-05-11,999.469970703125
2026-05-12,1021.8800048828124
2026-05-13,1033.0799560546875
2026-05-14,1041.25
2026-05-15,1048.949951171875
2026-05-18,1076.469970703125
2026-05-19,1094.3199462890625
2026-05-20,1074.010009765625
2026-05-21,1050.449951171875
2026-05-22,1028.239990234375
2026-05-26,1002.9299926757812
2026-05-27,1003.6900024414062
2026-05-28,995.2000122070312
2026-05-29,956.3200073242188
2026-06-01,946.1099853515624
2026-06-02,954.27001953125
2026-06-03,961.8300170898438
2026-06-04,972.3499755859376
2026-06-05,971.8699951171876
2026-06-08,974.75
2026-06-09,968.5900268554688
2026-06-10,983.3699951171876
2026-06-11,975.6900024414062
2026-06-12,982.3499755859376
2026-06-15,979.4500122070312
2026-06-16,986.6799926757812
2026-06-17,965.5900268554688
2026-06-18,951.4500122070312
2026-06-22,951.3499755859376
2026-06-23,957.6799926757812
2026-06-24,961.0900268554688
2026-06-25,942.239990234375
2026-06-26,952.5399780273438
2026-06-29,946.6799926757812
2026-06-30,935.469970703125
2026-07-01,924.6699829101562
2026-07-02,951.6699829101562
2026-07-06,950.25
2026-07-07,947.5
2026-07-08,953.1300048828124
2026-07-09,912.969970703125
2026-07-10,916.25
2026-07-13,926.4299926757812
2026-07-14,921.75
2026-07-15,916.5399780273438
2026-07-16,945.5700073242188
2026-07-17,940.8699951171875
2026-07-20,935.7999877929688
2026-07-21,929.219970703125
2026-07-22,927.3099975585938
2026-07-23,926.0599975585938
2026-07-24,935.030029296875
