时间,开盘价,最高价,最低价,收盘价
2000-06-05,41.396923572844884,42.67067506739396,39.56590579943059,41.87458038330078
2000-06-12,42.139937480290726,42.139937480290726,39.59243496259053,40.760040283203125
2000-06-19,40.91927003126878,44.89974376971905,40.60083213219276,41.39692687988281
2000-06-26,41.768431354076306,42.19301515437187,38.743271776970396,39.9108772277832
2000-07-03,39.857801922975874,41.07848027747447,37.41644521397868,40.44160461425781
2000-07-10,40.547756679549025,43.04218673706055,39.300541650793264,43.04218673706055
2000-07-17,43.04217701144465,43.785198562813605,37.68180724799716,38.05331802368164
2000-07-24,37.78796042202994,39.45975923283604,34.07285195357194,34.789337158203125
2000-07-31,35.16085134601669,36.24884750087457,31.949935864606864,33.40944290161133
2000-08-07,33.32983541452605,36.1427036899558,32.98486100338844,35.10778045654297
2000-08-14,35.82426160478378,41.95419081271345,35.24045882307619,41.37038803100586
2000-08-21,41.68882424977361,42.43184594232209,40.01702544153953,41.609214782714844
2000-08-28,41.50306411294949,42.750278955218434,40.653896560766384,41.55613708496094
2000-09-04,41.02540911621442,41.18462803904578,37.20415496826172,37.20415496826172
2000-09-11,36.938788929734706,37.973711895438484,34.76279705312677,35.134307861328125
2000-09-18,35.45274230957031,37.60219749450684,31.870317001342773,33.17060470581055
2000-09-25,34.07284636727606,34.07284636727606,30.060531174893708,30.187904357910156
2000-10-02,30.778080646151075,30.86724286091157,28.12867847836734,28.74432373046875
2000-10-09,28.532035232989053,28.765557661019695,24.519718891865498,27.491806030273438
2000-10-16,27.254037411763132,29.08399270447006,22.821381136719207,28.340970993041992
2000-10-23,28.786785502880562,29.86947234584223,24.3329003310413,26.196823120117188
2000-10-30,26.218055451054102,28.44287414831264,25.58542473642728,27.38141441345215
2000-11-06,27.76778083665786,27.852696299918087,22.337353710712257,22.502941131591797
2000-11-13,21.738694322490073,26.51101608235208,21.738694322490073,24.47726058959961
2000-11-20,23.606863119968036,25.024973346347156,22.96998729889344,24.833911895751953
2000-11-27,25.43257181876491,25.43257181876491,19.649738943968245,20.21868133544922
2000-12-04,20.592316692231467,23.55591176615644,19.641248157095006,23.4582576751709
2000-12-11,23.458253212915807,25.42407651485097,21.335334370117994,21.781147003173828
2000-12-18,22.396799989521796,23.445522706374167,19.637004730149442,21.547632217407227
2000-12-25,21.866066952140965,22.46048495404325,20.592315479200714,20.804607391357422
2001-01-01,21.123044409402986,24.328651830013815,19.615772217688885,21.759920120239258
2001-01-08,21.4414808936642,24.45177995916498,20.808850348706308,23.543170928955078
2001-01-15,23.14406211952306,25.869890945281604,22.290649398075136,25.351898193359375
2001-01-22,24.880612441645226,25.530226819923605,23.054902248770034,24.052675247192383
2001-01-29,23.75546622767709,26.264756663179117,23.245965294549716,23.81915283203125
2001-02-05,23.05914945032198,23.645073996500468,21.34383030955692,21.611318588256836
2001-02-12,21.488187642487034,24.40507806674502,21.34382907720007,22.34160041809082
2001-02-19,22.43925316317189,22.43925316317189,18.821800615528822,20.125272750854492
2001-02-26,20.082817258238375,20.600810111629617,17.17441831967774,19.250633239746094
2001-03-05,19.743148371811124,21.75567646687787,19.24638606118242,19.526611328125
2001-03-12,18.575539430047524,20.273874463651868,18.155200796580708,18.36749267578125
2001-03-19,18.554311601221603,21.437235870324066,17.798551367735318,20.93198013305664
2001-03-26,21.059359772056506,21.059359772056506,17.199892243216244,17.615985870361328
2001-04-02,17.40793323769362,17.998104373679837,14.779760485616421,15.862448692321777
2001-04-09,15.858204391750949,19.955438737935143,14.864678228097192,19.679458618164062
2001-04-16,18.809065306226053,22.92752921057615,17.853751589118716,22.014673233032227
2001-04-23,21.12304889794552,21.64953364342871,19.79834759141809,21.016902923583984
2001-04-30,21.394776087905,22.86383555552341,20.571084150377246,21.462709426879883
2001-05-07,21.632546644575154,21.912771909948265,20.312090663011674,20.44371223449707
2001-05-14,20.316336478005073,21.802379945936945,19.637002969099754,21.63254737854004
2001-05-21,21.547630492700847,23.30965412666702,20.974442940265945,21.420255661010742
2001-05-28,21.038128618289523,21.118800583206607,18.91520945156689,20.210189819335938
