时间,开盘价,最高价,最低价,收盘价
1993-01-25,24.192573236706927,24.192573236706927,24.072212175827786,24.175378799438477
1993-02-01,24.192577665592747,24.81157752057593,24.192577665592747,24.742799758911133
1993-02-08,24.742794114388865,24.828766296857207,24.502072003477508,24.536460876464844
1993-02-15,24.46769016271342,24.46769016271342,23.556384766632036,23.969051361083984
1993-02-22,24.03782976218968,24.450496367549157,23.91746866895983,24.43330192565918
1993-03-01,24.51926799060246,24.863156742223815,24.33012917721072,24.622434616088867
1993-03-08,24.674030807558566,25.224253097343844,24.656836361002775,24.811586380004883
1993-03-15,24.794368426225653,25.03509044978124,24.74278513546374,24.77717399597168
1993-03-22,24.65234729658006,25.015135869269745,24.635071650261505,24.825103759765625
1993-03-29,24.8423789502204,25.13606493224665,24.37593650817871,24.37593650817871
1993-04-05,24.56597343127157,24.61780037943881,24.358665638602613,24.479595184326172
1993-04-12,24.72145479013923,24.96331388661858,24.68690349064218,24.842384338378906
1993-04-19,24.842374155861993,24.911476726531983,24.151348449162075,24.18589973449707
1993-04-26,24.203183514586232,24.47959389019892,23.92677313897354,24.341388702392578
1993-05-03,24.375934021501493,24.738722550524546,24.272280156066333,24.51413917541504
1993-05-10,24.548699208281256,24.70418006181717,24.30684010278095,24.324115753173828
1993-05-17,24.39321273398799,25.01513600482621,24.237731916278435,24.738725662231445
1993-05-24,24.79056165888957,25.239728629712655,24.79056165888957,24.99786949157715
1993-05-31,25.084234691801523,25.326093703981428,24.9287538982573,25.032407760620117
1993-06-07,25.084249040441055,25.084249040441055,24.72146031464955,24.928768157958984
1993-06-14,24.963311606578614,24.980587254749256,24.60052299499512,24.600522994995117
1993-06-21,24.844461386468303,25.00104412629899,24.618286317823987,24.93145179748535
1993-06-28,25.053245704490823,25.209828490143888,24.792274395069043,24.87926483154297
1993-07-05,24.844462078590208,25.03584098815918,24.58349083826888,25.03584098815918
1993-07-12,25.001047199664836,25.157629958744156,24.86186252492766,24.9140567779541
1993-07-19,24.914050301499167,24.966244540957614,24.757467583123823,24.896652221679688
1993-07-26,24.966245651245117,25.175022618363542,24.93144949005871,24.966245651245117
1993-08-02,25.001044822783,25.157627566975798,24.966248657406826,25.03584098815918
1993-08-09,25.10543326195587,25.244617923144816,25.00104476606416,25.122831344604492
