date,open,high,low,close,volume
2026-05-27,750.8800048828125,751.3800048828125,748.219970703125,750.4600219726562,42106300
2026-05-28,750.25,755.1500244140625,749.22998046875,754.5999755859375,41562600
2026-05-29,755.9000244140625,758.0800170898438,754.6900024414062,756.47998046875,55075700
2026-06-01,755.3599853515625,760.280029296875,754.6900024414062,758.5399780273438,43634900
2026-06-02,757.030029296875,760.4000244140625,756.75,759.5700073242188,31581900
2026-06-03,758.1500244140625,758.7999877929688,753.5700073242188,754.239990234375,51402500
2026-06-04,752.0999755859375,758.3099975585938,751.469970703125,757.0900268554688,49923000
2026-06-05,752.3099975585938,752.8200073242188,735.530029296875,737.5499877929688,93989400
2026-06-08,743.3599853515625,745.3400268554688,738.1900024414062,739.219970703125,49319100
2026-06-09,743.6300048828125,746.9000244140625,722.5900268554688,737.0499877929688,87683500
2026-06-10,733.3900146484375,738.3800048828125,725.3300170898438,725.4299926757812,60341300
2026-06-11,728.760009765625,740.0,724.4099731445312,737.760009765625,86330500
2026-06-12,740.7100219726562,744.4400024414062,735.030029296875,741.75,57079500
2026-06-15,751.8499755859375,756.6799926757812,751.760009765625,754.8300170898438,60176400
2026-06-16,754.5499877929688,755.4400024414062,749.8800048828125,750.3300170898438,67093100
2026-06-17,751.2899780273438,752.1500244140625,739.219970703125,740.9600219726562,85945200
2026-06-18,747.760009765625,748.22998046875,743.8599853515625,746.739990234375,80875700
2026-06-22,747.7000122070312,750.1799926757812,743.1300048828125,744.3900146484375,46628100
2026-06-23,733.8099975585938,739.6300048828125,732.2999877929688,733.5800170898438,66846800
2026-06-24,735.1699829101562,739.9500122070312,730.8400268554688,733.239990234375,57439500
2026-06-25,738.9099731445312,739.3699951171875,729.5999755859375,734.2999877929688,53934400
2026-06-26,728.9450073242188,734.2424926757812,726.8599853515625,731.719970703125,11033218
