时间,开盘价,最高价,最低价,收盘价,成交量
2000-06-05,41.3969221350662,42.67067358537593,40.892728852651935,41.90111541748047,296800
2000-06-06,41.82151699696066,42.56453887254118,40.17625427246094,40.17625427246094,445600
2000-06-07,40.65389760831024,41.184627342100185,39.565901654040836,40.83965301513672,431000
2000-06-08,41.95418676151804,41.98072324903323,40.680435360788834,41.02540969848633,390400
2000-06-09,41.71536144648215,42.03379932011942,41.211168146556474,41.87458038330078,195000
2000-06-12,42.139954347553896,42.139954347553896,40.17625370415403,40.255863189697266,112400
2000-06-13,40.33546713166113,41.954193115234375,39.618981860243466,41.954193115234375,389000
2000-06-14,41.954189043366505,41.980725532324996,40.14970779418945,40.14970779418945,195000
2000-06-15,40.22931742136944,41.0519485823605,39.59244168382797,40.49468231201172,217800
2000-06-16,40.547755996386215,41.15809525549412,40.14970865348975,40.760047912597656,173800
2000-06-19,40.9192715947221,43.51984786987305,40.600833683479124,43.51984786987305,436400
2000-06-20,43.944423492138206,44.899737046315124,43.73213159121,44.156715393066406,497000
2000-06-21,43.57291016501627,44.66090609483702,43.51983719282989,44.34246826171875,371600
2000-06-22,43.94442332001117,43.94442332001117,42.03379621914112,42.13994216918945,782800
2000-06-23,42.19301773951604,42.537992098392586,41.29077710860815,41.39692306518555,685800
2000-06-26,41.768433913206444,42.19301773951604,40.91926626058725,41.39692306518555,308000
2000-06-27,41.71535327229279,41.79496272510251,40.070091247558594,40.070091247558594,472200
2000-06-28,40.176252247002445,41.237712015747555,40.176252247002445,40.28239822387695,457000
2000-06-29,39.80474285555304,40.07010780792339,38.743283046071625,39.35362243652344,563600
2000-06-30,39.4863009757184,40.255859260863446,39.19439955721511,39.910884857177734,916000
2000-07-03,39.85780815154275,40.86619477588271,39.804735171314334,40.8131217956543,105200
2000-07-05,38.424833009878576,38.87595328692825,37.41644650823811,37.62873840332031,2724400
2000-07-06,38.18601545990321,39.38015770847558,37.41645712193434,39.16786575317383,2786800
2000-07-07,40.01702838807594,41.078488027016945,39.83127295126126,40.441612243652344,359800
2000-07-10,40.54775730288452,41.05195062013243,40.12317345678102,40.3885383605957,187200
2000-07-11,40.33545439329262,41.23769482051101,39.30053155030682,39.751651763916016,446400
2000-07-12,40.70698401236767,41.26425041670908,40.096644617136604,40.7335205078125,229200
2000-07-13,41.6092174874176,42.43184870049793,41.37038907071687,41.768436431884766,288200
2000-07-14,42.564529917537065,43.04218673706055,41.92765415817242,43.04218673706055,272800
2000-07-17,43.04218470579794,43.78520638999174,42.458381953931394,43.705596923828125,331000
2000-07-18,42.882967548673115,43.01564999777173,41.60921603732639,41.79497146606445,434800
2000-07-19,41.74189994364997,41.74189994364997,39.804736119183055,40.308929443359375,745000
2000-07-20,40.52121421533285,41.3173087971665,39.35360882864349,39.67204666137695,544400
2000-07-21,39.08824481724695,39.274000223710445,37.681811025451914,38.053321838378906,1251400
2000-07-24,37.787961858327314,39.38015126247032,37.57566993777491,37.894107818603516,2472800
2000-07-25,39.32707160410255,39.45975403191666,38.345221638278126,39.406681060791016,548600
2000-07-26,37.89410418658189,38.26561501194054,36.75303522298034,37.68181228637695,1001600
2000-07-27,36.248841785249255,36.248841785249255,34.81587146577381,35.10777282714844,1052800
2000-07-28,35.61196050927623,36.08961720761227,34.07284448130453,34.789329528808594,2704800
2000-07-31,35.1608502459843,36.248846366803434,34.364755523433715,35.9304084777832,429600
2000-08-01,35.82426716663894,35.82426716663894,34.550515445158446,34.736270904541016,1313600
