date,breadth
2025-12-22,57.4
2025-12-29,57.4
2026-01-05,59.38
2026-01-12,64.46
2026-01-19,67.99
2026-01-26,68.65
2026-02-02,65.56
2026-02-09,67.33
2026-02-16,66.89
2026-02-23,66.0
2026-03-02,67.11
2026-03-09,55.85
2026-03-16,46.36
2026-03-23,39.51
2026-03-30,33.77
2026-04-06,44.81
2026-04-13,52.1
2026-04-20,60.49
2026-04-27,54.08
2026-05-04,49.67
