variant,period_start,period_end,candidate_count,candidate_positive_count,selected_count,selected_rate,precision,stage2_candidate_recall,end_to_end_day_recall,stage1_event_recall,stage1_event_window_coverage,end_to_end_event_recall,end_to_end_event_window_coverage,event_count,execution_count,execution_overpay_median,execution_overpay_mean,execution_overpay_p90,execution_within_0_8pct_rate,cashflow_xirr,liquidation_return_on_cost,net_return_20d_count,net_return_20d_mean,net_return_20d_median,net_return_20d_hit_rate,net_return_60d_count,net_return_60d_mean,net_return_60d_median,net_return_60d_hit_rate,net_return_120d_count,net_return_120d_mean,net_return_120d_median,net_return_120d_hit_rate,net_return_252d_count,net_return_252d_mean,net_return_252d_median,net_return_252d_hit_rate,engine_buy_count,engine_total_return,engine_annualized_return,engine_sharpe,engine_max_drawdown,engine_calmar,engine_cost_advantage
stage1_nday2,2020-01-01,2026-04-02,391,81,391,1.0,0.2071611253196931,1.0,0.5192307692307693,0.6229508196721312,0.6885245901639344,0.6229508196721312,0.6885245901639344,61,390,0.02145765316393522,0.03175434983540429,0.06818947756095997,0.20512820512820512,0.14761082637459286,0.48384412460323944,390,0.002780008169440822,0.0086708460486149,0.5384615384615384,390,0.04048157236154301,0.042842945124159204,0.7153846153846154,362,0.07926438240393423,0.09303796571323897,0.7320441988950276,350,0.16681798535493403,0.1690748973714744,0.7828571428571428,390,0.4988324490941814,0.06683913487491955,0.1235806284612821,0.11651985005818773,0.5736287408672548,0.025931497095554357
v3_n2_stored_oos,2020-01-01,2026-04-02,391,81,202,0.5166240409207161,0.22772277227722773,0.5679012345679012,0.2948717948717949,0.6229508196721312,0.6885245901639344,0.5081967213114754,0.6229508196721312,61,202,0.017178960028486068,0.029585492361854534,0.06674626549942729,0.2623762376237624,0.1415520962687743,0.43543082964475044,202,-0.0008863516946093748,0.0077980993084399985,0.5247524752475248,202,0.04478480094014485,0.05044734234730197,0.7178217821782178,184,0.08123497589515137,0.08935910738856867,0.7336956521739131,176,0.1597167749635729,0.16552024358191597,0.7556818181818182,202,0.4499301309542922,0.06119634006894059,0.10924220445037991,0.12617269085364394,0.48502048783223844,-0.006921263739016156
v3_n2_temporal_q50,2020-01-01,2026-04-02,391,81,204,0.5217391304347826,0.23529411764705882,0.5925925925925926,0.3076923076923077,0.6229508196721312,0.6885245901639344,0.5245901639344263,0.639344262295082,61,204,0.0167271737874225,0.02966494497842781,0.06620977159547471,0.25980392156862747,0.14415502003168149,0.45014125031092034,204,-0.002704988196016144,0.0069467469806956395,0.5147058823529411,204,0.04740125547432589,0.051115570579171155,0.7303921568627451,186,0.08295139841050701,0.0881409447854744,0.7473118279569892,177,0.16810736638824075,0.16640522218533382,0.7796610169491526,204,0.4647891417282017,0.06292760542642473,0.11545691588682443,0.1118715587742089,0.56249869149881,0.0032930759772956493
spatial_p0080_l025_q50,2020-01-01,2026-04-02,391,81,195,0.49872122762148335,0.3282051282051282,0.7901234567901234,0.41025641025641024,0.6229508196721312,0.6885245901639344,0.5901639344262295,0.6557377049180327,61,195,0.01476126171970571,0.022389007726347866,0.05057542727869726,0.3128205128205128,0.14182128302607952,0.425033979046739,195,-0.004195883495695856,-0.003493157672084135,0.4666666666666667,195,0.03544011964705017,0.03739908576736539,0.6974358974358974,179,0.06944875035442791,0.08657977215903356,0.7262569832402235,169,0.15316758184915483,0.17071996618046903,0.7751479289940828,195,0.43942826166337157,0.05996372505681302,0.10768052917647176,0.13976161970171527,0.42904286015567045,-0.014267621858882513
v3_n2_temporal_calibrated,2020-01-01,2026-04-02,391,81,204,0.5217391304347826,0.23529411764705882,0.5925925925925926,0.3076923076923077,0.6229508196721312,0.6885245901639344,0.5245901639344263,0.639344262295082,61,204,0.0167271737874225,0.02966494497842781,0.06620977159547471,0.25980392156862747,0.14415502003168149,0.45014125031092034,204,-0.002704988196016144,0.0069467469806956395,0.5147058823529411,204,0.04740125547432589,0.051115570579171155,0.7303921568627451,186,0.08295139841050701,0.0881409447854744,0.7473118279569892,177,0.16810736638824075,0.16640522218533382,0.7796610169491526,204,0.4647891417282017,0.06292760542642473,0.11545691588682443,0.1118715587742089,0.56249869149881,0.0032930759772956493
spatial_p0080_l025_calibrated,2020-01-01,2026-04-02,391,81,172,0.4398976982097187,0.29651162790697677,0.6296296296296297,0.3269230769230769,0.6229508196721312,0.6885245901639344,0.4918032786885246,0.6229508196721312,61,172,0.015639475783567836,0.023611225754799497,0.05147381121506283,0.3023255813953488,0.14126325402654444,0.41094057661264527,172,-0.005668331701622461,-0.0033271856680278655,0.46511627906976744,172,0.033883960367005354,0.03719212792671367,0.6976744186046512,156,0.0722489577341318,0.08961093815135468,0.7371794871794872,147,0.1584840051805108,0.17071996618046903,0.7891156462585034,172,0.42519250162893485,0.05828074085048107,0.10525269532828352,0.16730661807863412,0.3483468945806383,-0.024398793934920518
