period,variant,event_date,event_year,buy_date,probability,overpay,bar_offset
development,v3_n2_stored_oos,2005-04-20,2005,2005-04-14,0.8112208247184753,0.017311023120588187,-4
development,v3_n2_stored_oos,2005-05-13,2005,2005-05-13,0.5461652874946594,0.0,0
development,v3_n2_stored_oos,2005-06-24,2005,2005-07-01,0.7618014812469482,0.004623010100366365,5
development,v3_n2_stored_oos,2005-08-26,2005,2005-08-17,0.7629070281982422,0.011924336987245487,-7
development,v3_n2_stored_oos,2005-09-21,2005,2005-09-23,0.8511365056037903,0.004383974290340875,2
development,v3_n2_stored_oos,2005-10-13,2005,2005-10-10,0.845411479473114,0.009963067831613381,-3
development,v3_n2_stored_oos,2005-12-30,2005,2005-12-30,0.5212407112121582,0.0,0
development,v3_n2_stored_oos,2006-01-20,2006,2006-01-23,0.7459631562232971,0.0035721584383687777,1
development,v3_n2_stored_oos,2006-02-07,2006,2006-02-08,0.8327600955963135,0.009085338749980076,1
development,v3_n2_stored_oos,2006-03-09,2006,2006-03-07,0.8647086024284363,0.004631566350225658,-2
development,v3_n2_stored_oos,2006-04-11,2006,2006-04-10,0.9120318293571472,0.008550818072280197,-1
development,v3_n2_stored_oos,2006-05-23,2006,2006-05-18,0.8254989981651306,0.00830884424159617,-3
development,v3_n2_stored_oos,2006-06-13,2006,2006-06-09,0.7416054606437683,0.02284794115949884,-2
development,v3_n2_stored_oos,2006-07-17,2006,2006-07-18,0.7631689310073853,0.005108098429024377,1
development,v3_n2_stored_oos,2007-01-05,2007,2007-01-09,0.9030516147613524,0.0037711103743920393,2
development,v3_n2_stored_oos,2007-01-29,2007,2007-01-29,0.77633136510849,0.0,0
development,v3_n2_stored_oos,2007-03-05,2007,2007-03-02,0.7798945307731628,0.00961008606315139,-1
development,v3_n2_stored_oos,2007-06-07,2007,2007-06-11,0.9209468364715576,0.014754740749901352,2
development,v3_n2_stored_oos,2007-06-26,2007,2007-06-26,0.7743225693702698,0.0,0
development,v3_n2_stored_oos,2007-08-15,2007,2007-08-13,0.7255474328994751,0.029707736991061218,-2
development,v3_n2_stored_oos,2007-08-28,2007,2007-08-17,0.3124436438083648,0.0068883653902831465,-7
development,v3_n2_stored_oos,2007-09-10,2007,2007-09-10,0.7112498879432678,0.0,0
development,v3_n2_stored_oos,2007-10-19,2007,2007-10-22,0.810626745223999,0.0058124622777033785,1
development,v3_n2_stored_oos,2007-11-26,2007,2007-11-26,0.5915160775184631,0.0,0
development,v3_n2_stored_oos,2007-12-17,2007,2007-12-17,0.5464191436767578,0.0,0
development,v3_n2_stored_oos,2008-01-22,2008,2008-01-22,0.5622422099113464,0.0,0
development,v3_n2_stored_oos,2008-02-06,2008,2008-02-07,0.626687228679657,0.006614302798835681,1
development,v3_n2_stored_oos,2008-03-10,2008,2008-03-04,0.5776845216751099,0.03898442111027567,-4
development,v3_n2_stored_oos,2008-04-14,2008,2008-04-14,0.7290303111076355,0.0,0
development,v3_n2_stored_oos,2008-05-23,2008,2008-05-22,0.7160106897354126,0.013586117960291189,-1
development,v3_n2_stored_oos,2008-07-15,2008,2008-07-15,0.553133487701416,0.0,0
development,v3_n2_stored_oos,2008-07-28,2008,2008-07-28,0.5199544429779053,0.0,0
development,v3_n2_stored_oos,2008-08-19,2008,2008-08-21,0.4416836202144623,0.006378681450762702,2
development,v3_n2_stored_oos,2008-09-17,2008,2008-09-08,0.7295092344284058,0.0890145476022568,-7
