date,open,high,low,close,volume,spy_idx,is_gt,sl_price_premium,price_quality,sl_distance,sl_center_date,is_sl_center,is_stage1,oos_probability,train_percentile,fold_id,is_predicted,outcome
2005-03-31,80.06407264732324,80.24697331910993,79.84729899232455,79.90826416015625,64575400,3065,False,0.012270880232018166,0.0,2.0,2005-03-29,False,True,0.06162062659859657,0.18302094818081588,0,False,TN
2005-04-01,80.3621400963094,80.60601112516923,79.19698483078052,79.54924011230469,95255300,3066,True,0.007722795090101542,0.03465061373730727,3.0,2005-03-29,False,True,0.08609955757856369,0.24476295479603086,0,False,FN
2005-04-04,79.50182982206566,79.84053904756243,79.08182852186432,79.68473052978516,71581200,3067,False,0.0094391758125143,0.0,4.0,2005-03-29,False,True,0.09547307342290878,0.26460859977949286,0,False,TN
2005-04-05,79.78635047637688,80.19280054461998,79.71183402756479,80.06409454345703,46853900,3068,False,0.014244925857069157,0.0,5.0,2005-03-29,False,True,0.06485697627067566,0.185226019845645,0,False,TN
2005-04-06,80.24019835160529,80.57890751335675,80.05729767830782,80.34181213378906,53268200,3069,False,0.01776302792793727,0.0,6.0,2005-03-29,False,False,,,-1,False,TN
2005-04-07,80.21312197479882,80.78892662959495,80.15215162615614,80.77537536621094,46734600,3070,False,0.023255368920857666,0.0,7.0,2005-03-29,False,False,,,-1,False,TN
2005-04-08,80.72798821371704,80.75508558291102,79.93540954589844,79.93540954589844,63772900,3071,False,,0.0,,,False,False,,,-1,False,TN
2005-04-11,80.13182467416692,80.21988720724993,79.82021282445899,79.996337890625,44945000,3072,False,0.03769744796583585,0.0,7.0,2005-04-20,False,True,0.5738880634307861,0.8070562293274531,0,True,FP
2005-04-12,79.86086906758216,80.65344749716232,79.30538608681319,80.40957641601562,86144800,3073,False,0.04305790038786195,0.0,6.0,2005-04-20,False,False,,,-1,False,TN
2005-04-13,80.31473282826393,80.47731698360909,79.34602420124352,79.46118927001953,65949000,3074,False,0.03075560071972805,0.0,5.0,2005-04-20,False,False,,,-1,False,TN
2005-04-14,79.52893920208332,79.59668002376401,78.42474365234375,78.42474365234375,96119800,3075,False,0.017311023120588187,0.0,4.0,2005-04-20,False,True,0.7732073068618774,0.9547960308710033,0,True,FP
2005-04-15,78.40444780584168,78.71605982307814,77.29348142498301,77.32735443115234,128677300,3076,True,0.0030758965600135024,0.6155129299983122,3.0,2005-04-20,False,True,0.6006832122802734,0.8302094818081588,0,True,TP
2005-04-18,77.30700542354614,77.87603451473248,77.1986159766764,77.56442260742188,100035200,3077,True,0.006151100350531458,0.2311124561835678,2.0,2005-04-20,False,True,0.5558714270591736,0.7916207276736494,0,True,TP
2005-04-19,77.97089724637237,78.26218751618335,77.78799645755846,78.18090057373047,64930100,3078,False,0.014147936571212494,0.0,1.0,2005-04-20,False,True,0.1652900129556656,0.37265711135611906,0,False,TN
2005-04-20,78.16055022732753,78.32990486437016,76.92087821207846,77.0902328491211,107735900,3079,True,0.0,1.0,0.0,2005-04-20,True,True,0.6384314298629761,0.8588754134509372,0,True,TP
2005-04-21,77.76087460641993,78.72280769010341,77.48313052502627,78.58732604980469,86952200,3080,False,0.01942001139902727,0.0,1.0,2005-04-20,False,True,0.08244732022285461,0.237045203969129,0,False,TN
2005-04-22,78.4044207762605,78.91926031643405,77.40861469040517,78.28926086425781,88845800,3081,False,0.015553565877579167,0.0,2.0,2005-04-20,False,True,0.06712877005338669,0.19735391400220506,0,False,TN
2005-04-25,78.48569729860063,78.91924466699886,78.39085913478179,78.80408477783203,52284100,3082,False,0.0222317648471142,0.0,3.0,2005-04-20,False,True,0.07751697301864624,0.2249173098125689,0,False,TN
2005-04-26,78.55346725362881,79.10217471479534,78.00475979246228,78.03862762451172,72626000,3083,False,0.012302398635204437,0.0,4.0,2005-04-20,False,True,0.4444141089916229,0.6846747519294377,0,True,FP
2005-04-27,77.80828362819534,78.62795933300306,77.52376911941103,78.34344482421875,84131900,3084,False,0.016256430014297774,0.0,5.0,2005-04-20,False,True,0.14806820452213287,0.3461962513781698,0,False,TN
2005-04-28,78.08602838569597,78.36377245206259,77.36119079589844,77.36119079589844,72481500,3085,True,0.0035148155189472785,0.5606480601315902,6.0,2005-04-20,False,True,0.6688128113746643,0.8875413450937155,0,True,TP
2005-04-29,77.95053387725058,78.49247065619676,77.2053746824187,78.41117858886719,103993800,3086,False,0.01713505966873141,0.0,7.0,2005-04-20,False,True,0.031697411090135574,0.05733186328555678,0,False,TN
2005-05-02,78.62795976398559,78.85828472590151,78.25537754689775,78.85150909423828,56026400,3087,False,,0.0,,,False,False,,,-1,False,TN
2005-05-03,78.62796851798485,79.15635414410592,78.37055133734192,78.98699951171875,86000300,3088,False,,0.0,,,False,False,,,-1,False,TN
2005-05-04,79.0208219337837,79.76598080574198,78.77017537767384,79.59662628173828,81055700,3089,False,0.01538134676055547,0.0,7.0,2005-05-13,False,False,,,-1,False,TN
2005-05-05,79.71184499255857,79.93539436974582,79.0818454912178,79.56958770751953,96906700,3090,False,0.015036426816241066,0.0,6.0,2005-05-13,False,False,,,-1,False,TN
2005-05-06,79.88795813657177,79.92860158977986,79.29860222359126,79.31892395019531,67415400,3091,False,0.011838812603359283,0.0,5.0,2005-05-13,False,False,,,-1,False,TN
2005-05-09,79.40022794369591,79.98958394514483,79.29184366277386,79.8134536743164,43750500,3092,False,0.018147324417840505,0.0,4.0,2005-05-13,False,False,,,-1,False,TN
2005-05-10,79.50183904129786,79.59667722197122,78.84474224070871,78.98699951171875,74613500,3093,True,0.0076045893817602295,0.049426327279971316,3.0,2005-05-13,False,False,,,-1,False,FN
2005-05-11,79.21053417520585,79.52892165196741,78.47892105859957,79.4205322265625,91647400,3094,False,0.013134987495678763,0.0,2.0,2005-05-13,False,False,,,-1,False,TN
2005-05-12,79.47474188419486,79.6576426135941,78.54667663574219,78.54667663574219,95086800,3095,True,0.0019875719816000448,0.7515535022999944,1.0,2005-05-13,False,False,,,-1,False,FN
2005-05-13,78.78377310847767,79.00054682034589,77.76764536504052,78.390869140625,85267000,3096,True,0.0,1.0,0.0,2005-05-13,True,True,0.5541905760765076,0.7905181918412348,0,True,TP
2005-05-16,78.37734049314092,79.14959738753322,78.35024829359598,79.12250518798828,49207000,3097,False,0.009333179430002225,0.0,1.0,2005-05-13,False,False,,,-1,False,TN
2005-05-17,78.85826263041142,79.73212764328952,78.68890806433112,79.65084075927734,61071800,3098,False,0.016072938499917422,0.0,2.0,2005-05-13,False,False,,,-1,False,TN
2005-05-18,79.9963468645616,80.66699488966924,79.94215731335822,80.47054290771484,77944900,3099,False,0.026529540874959956,0.0,3.0,2005-05-13,False,False,,,-1,False,TN
2005-05-19,80.62635922110229,80.89055722902538,80.40958547657839,80.80926513671875,61768100,3100,False,0.030850480707841132,0.0,4.0,2005-05-13,False,False,,,-1,False,TN
2005-05-20,80.84312716569936,80.8770001604704,80.43667706991369,80.69409942626953,46345500,3101,False,0.029381359218160652,0.0,5.0,2005-05-13,False,False,,,-1,False,TN
2005-05-23,80.75503085280944,81.31728925386197,80.74148476154039,81.14115905761719,51047900,3102,False,0.03508431462927719,0.0,6.0,2005-05-13,False,False,,,-1,False,TN
2005-05-24,80.91087173937457,81.17506455542679,80.74828756927067,80.9515151977539,50654100,3103,False,0.0326651060920804,0.0,7.0,2005-05-13,False,False,,,-1,False,TN
2005-05-25,80.84992295671938,81.20218358431165,80.49766749742176,80.89057159423828,47608800,3104,False,,0.0,,,False,False,,,-1,False,TN
2005-05-26,81.14797402745035,81.43248859665204,81.03281410681544,81.32410430908203,43256200,3105,False,,0.0,,,False,False,,,-1,False,TN
2005-05-27,81.33087590860741,81.45958709716797,81.1547507928121,81.45958709716797,24596100,3106,False,,0.0,,,False,False,,,-1,False,TN
2005-05-31,81.34443079853384,81.40539599480327,80.88378592075328,80.93798065185547,43377200,3107,False,,0.0,,,False,False,,,-1,False,TN
2005-06-01,80.96504916769791,81.91343601141705,80.91763008392658,81.62892150878906,69611000,3108,False,,0.0,,,False,False,,,-1,False,TN
2005-06-02,81.44604554603357,81.85926616254055,81.35797781492558,81.8050765991211,39704500,3109,False,,0.0,,,False,False,,,-1,False,TN
2005-06-03,81.6627835572057,81.89310331372602,81.10730072103642,81.39181518554688,60999400,3110,False,,0.0,,,False,False,,,-1,False,TN
2005-06-06,81.2563514215195,81.42570605571882,80.9853881414352,81.31732177734375,36046400,3111,False,,0.0,,,False,False,,,-1,False,TN
2005-06-07,81.55438795492651,82.1369681008993,81.29697086393747,81.37825775146484,66501300,3112,False,,0.0,,,False,False,,,-1,False,TN
2005-06-08,81.58150336347232,81.68988762692821,81.06666389925232,81.229248046875,46881200,3113,False,,0.0,,,False,False,,,-1,False,TN
2005-06-09,81.11409352832521,81.68312778239337,80.91087106981699,81.61538696289062,56653300,3114,False,,0.0,,,False,False,,,-1,False,TN
2005-06-10,81.669591343961,81.73056171038742,81.01927005574638,81.42572021484375,36465300,3115,False,,0.0,,,False,False,,,-1,False,TN
2005-06-13,81.24956572931431,82.02182230306141,81.16149802832885,81.68311309814453,49383200,3116,False,,0.0,,,False,False,,,-1,False,TN
2005-06-14,81.59505866041562,82.1031225503766,81.54763957075099,81.872802734375,33857100,3117,False,,0.0,,,False,False,,,-1,False,TN
2005-06-15,82.07604212364298,82.13023168510433,81.44604260304641,82.02861785888672,53195600,3118,False,0.013643234779637803,0.0,7.0,2005-06-24,False,False,,,-1,False,TN
2005-06-16,82.00825389767819,82.4011577336396,81.91341575358973,82.23857879638672,46564500,3119,False,0.016237762024153612,0.0,6.0,2005-06-24,False,False,,,-1,False,TN
2005-06-17,82.66574737734524,82.91060272773886,82.44809875356786,82.54331970214844,51529400,3120,False,0.020003503366003095,0.0,5.0,2005-06-24,False,False,,,-1,False,TN
2005-06-20,82.35287750007534,82.86978973641243,82.25765655184732,82.57052612304688,41019400,3121,False,0.020339698284387753,0.0,4.0,2005-06-24,False,False,,,-1,False,TN
2005-06-21,82.63852966048786,82.74055357444229,82.31885715170152,82.61812591552734,39879800,3122,False,0.020927897974741372,0.0,3.0,2005-06-24,False,False,,,-1,False,TN
2005-06-22,82.76095152409631,82.93779261662395,82.34605810844576,82.6861343383789,46310100,3123,False,0.021768290992823403,0.0,2.0,2005-06-24,False,False,,,-1,False,TN
2005-06-23,82.51610866629939,82.7065505535151,81.50268280124305,81.52308654785156,62185600,3124,True,0.007396288204460921,0.07546397444238484,1.0,2005-06-24,False,False,,,-1,False,FN
2005-06-24,81.53667837583313,81.6251015203112,80.82931916576686,80.92454528808594,58572500,3125,True,0.0,1.0,0.0,2005-06-24,True,True,0.8184360861778259,0.9680264608599779,0,True,TP
2005-06-27,80.91777158012039,81.2170404435573,80.76813714840195,81.04019927978516,48183800,3126,True,0.0014291583757128912,0.8213552030358886,1.0,2005-06-24,False,True,0.8417473435401917,0.9702315325248071,0,True,TP
2005-06-28,81.21023762144694,81.7815634282264,81.18983386965532,81.72035217285156,41174200,3127,False,0.009833937057447839,0.0,2.0,2005-06-24,False,False,,,-1,False,TN
2005-06-29,81.86998389320887,81.89038764432468,81.4550903233427,81.50270080566406,42316500,3128,True,0.007144377710371241,0.10695278620359483,3.0,2005-06-24,False,False,,,-1,False,FN
