comparison,period,variant,pct,price_lambda,candidate_count,selected_count,event_count,covered_event_count,stage1_event_coverage,post_bottom_rate,center_day_rate,overpay_mean,overpay_median,overpay_p75,overpay_p90,within_0_8pct_rate,exact_bottom_rate
matched_budget,development,v3_n2_temporal,,0.0,978,460,,,,,,0.02101586327279367,0.01219788031975333,0.027032183652800856,0.050025033254198124,0.3934782608695652,0.1608695652173913
matched_budget,development,v3_n2_stored_oos,,0.0,978,460,,,,,,0.020642112740033747,0.012040591019848779,0.02590313672836403,0.04997516966867319,0.39565217391304347,0.1608695652173913
matched_budget,development,spatial_p0005_l000,0.0005,0.0,978,460,,,,,,0.020775609539612563,0.009583358002920539,0.027910479387706355,0.052157001615930114,0.45652173913043476,0.23043478260869565
matched_budget,development,spatial_p0005_l025,0.0005,0.25,978,460,,,,,,0.021133012995113717,0.009971585044745046,0.027769919563993772,0.05222792624696767,0.45217391304347826,0.22826086956521738
matched_budget,development,spatial_p0005_l050,0.0005,0.5,978,460,,,,,,0.021066368595758486,0.009691821557851643,0.027769919563993772,0.05222792624696767,0.45652173913043476,0.23043478260869565
matched_budget,development,spatial_p0005_l100,0.0005,1.0,978,460,,,,,,0.021117807466085464,0.009786576947382386,0.027910479387706355,0.05222792624696767,0.45652173913043476,0.23043478260869565
matched_budget,development,spatial_p0005_l200,0.0005,2.0,978,460,,,,,,0.021145551365617493,0.009971585044745046,0.027910479387706355,0.05222792624696767,0.4543478260869565,0.23043478260869565
matched_budget,development,spatial_p0005_l400,0.0005,4.0,978,460,,,,,,0.02119524043925001,0.009691821557851643,0.028148671502553513,0.05222792624696767,0.45217391304347826,0.22826086956521738
matched_budget,development,spatial_p0010_l000,0.001,0.0,978,460,,,,,,0.021338433343016116,0.010389646328083812,0.028905425111769356,0.05272799400677477,0.45,0.23043478260869565
matched_budget,development,spatial_p0010_l025,0.001,0.25,978,460,,,,,,0.021149921720305564,0.010075406996784775,0.028279711482323555,0.05272799400677477,0.4543478260869565,0.2326086956521739
matched_budget,development,spatial_p0010_l050,0.001,0.5,978,460,,,,,,0.02087542937410349,0.010000255053054241,0.027910479387706355,0.05222792624696767,0.4543478260869565,0.2326086956521739
matched_budget,development,spatial_p0010_l100,0.001,1.0,978,460,,,,,,0.021221330476432963,0.010190742173448952,0.028596836633615508,0.05272799400677477,0.45217391304347826,0.23043478260869565
matched_budget,development,spatial_p0010_l200,0.001,2.0,978,460,,,,,,0.021261098879617604,0.010317936323709365,0.028279711482323555,0.05272799400677477,0.44782608695652176,0.22826086956521738
matched_budget,development,spatial_p0010_l400,0.001,4.0,978,460,,,,,,0.020990904431365025,0.010317936323709365,0.028148671502553513,0.05222792624696767,0.45217391304347826,0.23043478260869565
matched_budget,development,spatial_p0015_l000,0.0015,0.0,978,460,,,,,,0.021127266494462442,0.009971585044745046,0.027769919563993772,0.05222792624696767,0.45652173913043476,0.22826086956521738
matched_budget,development,spatial_p0015_l025,0.0015,0.25,978,460,,,,,,0.021088598423962948,0.009868312442082638,0.027925586639346356,0.05222792624696767,0.45869565217391306,0.23043478260869565
matched_budget,development,spatial_p0015_l050,0.0015,0.5,978,460,,,,,,0.021076259302812518,0.009868312442082638,0.027925586639346356,0.05222792624696767,0.45869565217391306,0.2326086956521739
matched_budget,development,spatial_p0015_l100,0.0015,1.0,978,460,,,,,,0.02111465641712308,0.009971585044745046,0.027925586639346356,0.05272799400677477,0.45652173913043476,0.23043478260869565
matched_budget,development,spatial_p0015_l200,0.0015,2.0,978,460,,,,,,0.021108937126912645,0.009868312442082638,0.028596836633615508,0.05272799400677477,0.45869565217391306,0.23043478260869565
matched_budget,development,spatial_p0015_l400,0.0015,4.0,978,460,,,,,,0.020781470107260207,0.009971585044745046,0.027910479387706355,0.05222792624696767,0.45652173913043476,0.23043478260869565
matched_budget,development,spatial_p0020_l000,0.002,0.0,978,460,,,,,,0.021010835919784553,0.00947685794601516,0.027925586639346356,0.05222792624696767,0.4652173913043478,0.23043478260869565
matched_budget,development,spatial_p0020_l025,0.002,0.25,978,460,,,,,,0.020866220533386697,0.00947685794601516,0.02758205236145106,0.05222792624696767,0.4652173913043478,0.23043478260869565
matched_budget,development,spatial_p0020_l050,0.002,0.5,978,460,,,,,,0.020829049917766445,0.00947685794601516,0.02758205236145106,0.05222792624696767,0.4652173913043478,0.23043478260869565
matched_budget,development,spatial_p0020_l100,0.002,1.0,978,460,,,,,,0.02112005332582557,0.009691821557851643,0.028279711482323555,0.05222792624696767,0.45869565217391306,0.23043478260869565
matched_budget,development,spatial_p0020_l200,0.002,2.0,978,460,,,,,,0.02106218859986765,0.009868312442082638,0.027925586639346356,0.05222792624696767,0.45869565217391306,0.23043478260869565
matched_budget,development,spatial_p0020_l400,0.002,4.0,978,460,,,,,,0.020935562345444983,0.00947685794601516,0.027649565514797025,0.05222792624696767,0.4652173913043478,0.2326086956521739
matched_budget,development,spatial_p0025_l000,0.0025,0.0,978,460,,,,,,0.021017249776553535,0.009691821557851643,0.027769919563993772,0.05219302125252046,0.4608695652173913,0.22826086956521738
matched_budget,development,spatial_p0025_l025,0.0025,0.25,978,460,,,,,,0.021013622279387884,0.009583358002920539,0.027769919563993772,0.05219302125252046,0.4608695652173913,0.22826086956521738
matched_budget,development,spatial_p0025_l050,0.0025,0.5,978,460,,,,,,0.02098884365438445,0.009691821557851643,0.027910479387706355,0.05219302125252046,0.4608695652173913,0.22826086956521738
matched_budget,development,spatial_p0025_l100,0.0025,1.0,978,460,,,,,,0.02082693566353358,0.009353958468829582,0.027649565514797025,0.05222792624696767,0.4652173913043478,0.23043478260869565
matched_budget,development,spatial_p0025_l200,0.0025,2.0,978,460,,,,,,0.02089590105234415,0.009583358002920539,0.027769919563993772,0.05222792624696767,0.46304347826086956,0.22826086956521738
matched_budget,development,spatial_p0025_l400,0.0025,4.0,978,460,,,,,,0.020950273719305933,0.009691821557851643,0.027769919563993772,0.05222792624696767,0.4608695652173913,0.22826086956521738
