date,label,forward_return,proba,fold_id,fold_threshold
2005-01-11,0,0.009561464348055715,0.20099025964736938,0,0.36550453305244446
2005-01-12,0,0.009867862259298033,0.21641215682029724,0,0.36550453305244446
2005-01-13,0,0.026781076852168573,0.3624502420425415,0,0.36550453305244446
2005-01-14,0,0.02063586458631894,0.35692650079727173,0,0.36550453305244446
2005-01-18,0,0.01389442030340593,0.23602019250392914,0,0.36550453305244446
2005-01-26,1,0.02567603538925356,0.48045840859413147,0,0.36550453305244446
2005-01-27,1,0.03406321547657454,0.19676589965820312,0,0.36550453305244446
2005-01-28,0,0.027250245855037658,0.10272374749183655,0,0.36550453305244446
2005-01-31,0,0.025980932630460085,0.016426868736743927,0,0.36550453305244446
2005-03-22,0,-0.02651811262709658,0.5862002372741699,0,0.36550453305244446
2005-03-23,0,-0.008461525019725857,0.5236811637878418,0,0.36550453305244446
2005-03-24,0,-0.013402538578401457,0.4972163140773773,0,0.36550453305244446
2005-03-28,1,-0.008353749204240701,0.41136232018470764,0,0.36550453305244446
2005-03-29,1,-0.01141330218707004,0.48557189106941223,0,0.36550453305244446
2005-03-30,1,-0.02140783941149993,0.24520327150821686,0,0.36550453305244446
2005-03-31,1,-0.031874772753634595,0.2778419554233551,0,0.36550453305244446
2005-04-01,1,-0.014305969902247417,0.13990142941474915,0,0.36550453305244446
2005-04-04,0,-0.010456629887253266,0.12278470396995544,0,0.36550453305244446
2005-04-05,0,-0.013452655658663826,0.11070670932531357,0,0.36550453305244446
2005-04-06,0,-0.009274942047003853,0.0909029170870781,0,0.36550453305244446
2005-04-20,1,0.04384919769225348,0.6350372433662415,0,0.36550453305244446
2005-04-21,1,0.028273481129757805,0.33114150166511536,0,0.36550453305244446
2005-04-22,1,0.03071724173325574,0.5908109545707703,0,0.36550453305244446
2005-04-25,0,0.02965703933294561,0.054770465940237045,0,0.36550453305244446
2005-04-26,0,0.03732647412824952,0.09357686340808868,0,0.36550453305244446
2005-04-27,0,0.03251181534339476,0.12018612772226334,0,0.36550453305244446
2005-04-28,0,0.051225702119120475,0.5319238901138306,0,0.36550453305244446
2005-04-29,0,0.038876687574425084,0.33452126383781433,0,0.36550453305244446
2005-05-02,0,0.0264605207640487,0.08282887190580368,0,0.36550453305244446
2005-08-23,1,-0.00666990430953085,0.4618792235851288,0,0.36550453305244446
2005-08-24,1,0.0058321692452072416,0.4505500793457031,0,0.36550453305244446
2005-08-25,1,0.003017699203804014,0.5438192486763,0,0.36550453305244446
2005-08-26,1,0.011076066938179308,0.4979575574398041,0,0.36550453305244446
2005-08-29,1,0.0031010015550978487,0.2985301911830902,0,0.36550453305244446
2005-08-30,0,0.009400347398315967,0.2394987940788269,0,0.36550453305244446
2005-08-31,0,0.004912180332457883,0.053712617605924606,0,0.36550453305244446
2005-09-27,0,-0.015055433376467198,0.46483099460601807,0,0.36550453305244446
2005-09-28,0,-0.018903421357741923,0.2816065549850464,0,0.36550453305244446
2005-09-29,0,-0.03717607752840202,0.09779442846775055,0,0.36550453305244446
2005-10-11,1,0.03208631356917957,0.7555173635482788,0,0.36550453305244446
2005-10-12,1,0.04161682877906303,0.6207048892974854,0,0.36550453305244446
2005-10-13,1,0.050327639026599646,0.6494356393814087,0,0.36550453305244446
2005-10-14,1,0.04289247187258072,0.35693106055259705,0,0.36550453305244446
2005-10-17,0,0.038452361254388334,0.22876930236816406,0,0.36550453305244446
2005-10-18,0,0.04600206308649568,0.34853410720825195,0,0.36550453305244446
2005-10-19,0,0.03097350853367331,0.19555017352104187,0,0.36550453305244446
2006-02-09,1,0.01724528358457822,0.27813026309013367,0,0.36550453305244446
2006-02-10,1,0.01729316221986399,0.12379177659749985,0,0.36550453305244446
2006-02-13,0,0.029823268061456076,0.07570997625589371,0,0.36550453305244446
2006-02-14,0,0.023561465013820504,0.12293481826782227,0,0.36550453305244446
2006-05-18,0,-0.00799504348235247,0.644133448600769,0,0.36550453305244446
2006-05-19,0,-0.02268615646733796,0.5014761686325073,0,0.36550453305244446
2006-05-22,1,-0.011825402298568877,0.6171804666519165,0,0.36550453305244446
2006-05-23,1,0.0031366144265039253,0.6043806076049805,0,0.36550453305244446
