baseline,challenger,metric,baseline_value,challenger_value,difference,ci_low,ci_high,bootstrap_samples
v3_n2_stored_oos,spatial_p0080_l025_q50,precision,0.22772277227722773,0.3282051282051282,0.10048235592790047,0.026456704009018506,0.15263367916999201,2000
v3_n2_stored_oos,spatial_p0080_l025_q50,recall,0.2911392405063291,0.4050632911392405,0.11392405063291139,0.046875,0.23409426713947962,2000
v3_n2_stored_oos,spatial_p0080_l025_q50,f1,0.2555555555555556,0.3626062322946175,0.10705067673906193,0.036907036050702446,0.17728926545047455,2000
stage1_nday2,spatial_p0080_l025_q50,precision,0.2071611253196931,0.3282051282051282,0.1210440028854351,0.0840655336691155,0.15937019969278035,2000
stage1_nday2,spatial_p0080_l025_q50,recall,0.5126582278481012,0.4050632911392405,-0.10759493670886072,-0.18619337680164724,-0.041909930139720594,2000
stage1_nday2,spatial_p0080_l025_q50,f1,0.29508196721311475,0.3626062322946175,0.06752426508150278,0.02653270361789345,0.10170929809673895,2000
