variant,pct,price_lambda,stage1_precision,stage1_day_recall,stage1_event_recall,gt_days_per_event,oos_samples,positive_rate,auc_roc,auc_pr,precision,recall,event_recall,selected_premium_median,selected_count
v3_n2_temporal,0.02,0.0,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.5659040416987098,0.5730277655493334,0.552710843373494,0.5205673758865248,0.65,0.00653745879896328,664
v3_n2_stored_oos,0.02,0.0,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.562795864308297,0.5749853725683929,0.56797583081571,0.5333333333333333,0.6454545454545455,0.006585138095721477,662
spatial,0.02,0.0,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.6785493035973682,0.6572848159920485,0.6449612403100775,0.5900709219858156,0.5409090909090909,0.006821986189974982,645
spatial,0.02,0.25,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.6788451679056652,0.653107707076055,0.6521739130434783,0.5957446808510638,0.5318181818181819,0.006496640463040881,644
spatial,0.02,0.5,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.6787212680509271,0.6540317188501785,0.6525157232704403,0.5886524822695035,0.5227272727272727,0.006723541022359392,636
spatial,0.02,1.0,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.6772579680423823,0.6464028522686461,0.6483516483516484,0.5858156028368794,0.5545454545454546,0.006262230525612811,637
spatial,0.02,2.0,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.6813263693070153,0.656305612554312,0.6426380368098159,0.5943262411347517,0.5636363636363636,0.00627709371342644,652
spatial,0.02,4.0,0.5149744338933528,0.40308747855917665,0.759090909090909,7.95,1369,0.5149744338933528,0.678245962573699,0.6489540597654677,0.6417445482866043,0.5843971631205673,0.5727272727272728,0.00581077708527622,642
v3_n2_temporal,0.025,0.0,0.5763330898466034,0.38319572608062163,0.759090909090909,9.35909090909091,1369,0.5763330898466034,0.546831432192649,0.6144300837037613,0.6009036144578314,0.5057034220532319,0.65,0.007515726835797265,664
v3_n2_stored_oos,0.025,0.0,0.5763330898466034,0.38319572608062163,0.759090909090909,9.35909090909091,1369,0.5763330898466034,0.5443315414536077,0.6163575848773781,0.620845921450151,0.5209125475285171,0.6545454545454545,0.0075513543702006025,662
spatial,0.025,0.0,0.5763330898466034,0.38319572608062163,0.759090909090909,9.35909090909091,1369,0.5763330898466034,0.660864909750448,0.7016073605925512,0.6916167664670658,0.5855513307984791,0.5409090909090909,0.007523219739788645,668
spatial,0.025,0.25,0.5763330898466034,0.38319572608062163,0.759090909090909,9.35909090909091,1369,0.5763330898466034,0.6528320440540186,0.6943858172467385,0.6869300911854104,0.5728770595690748,0.5318181818181819,0.007420356404972739,658
spatial,0.025,0.5,0.5763330898466034,0.38319572608062163,0.759090909090909,9.35909090909091,1369,0.5763330898466034,0.6587080984222717,0.6996226589976747,0.6907692307692308,0.5690747782002535,0.5318181818181819,0.007165425368550471,650
spatial,0.025,1.0,0.5763330898466034,0.38319572608062163,0.759090909090909,9.35909090909091,1369,0.5763330898466034,0.6586840610113194,0.6991567700191532,0.684931506849315,0.5703422053231939,0.5318181818181819,0.007106033032462711,657
spatial,0.025,2.0,0.5763330898466034,0.38319572608062163,0.759090909090909,9.35909090909091,1369,0.5763330898466034,0.6564354704776889,0.6981416283276092,0.6780715396578538,0.5525982256020279,0.55,0.006874557932740832,643
