metric,baseline,challenger,baseline_value,challenger_value,difference,ci_low,ci_high,bootstrap_samples
overpay_median,v3_n2_stored_oos,spatial_p0080_l025_q50,0.017178960028486068,0.01476126171970571,-0.0024176983087803583,-0.009648661540596959,-0.00015317228449188993,2000
overpay_mean,v3_n2_stored_oos,spatial_p0080_l025_q50,0.029585492361854534,0.022389007726347866,-0.007196484635506668,-0.015336295703487114,-0.0008151528949659689,2000
within_0_8pct_rate,v3_n2_stored_oos,spatial_p0080_l025_q50,0.2623762376237624,0.3128205128205128,0.05044427519675043,-0.012361015079299233,0.09694425898308477,2000
net_return_20d_mean,v3_n2_stored_oos,spatial_p0080_l025_q50,-0.0008863516946093748,-0.004195883495695856,-0.003309531801086481,-0.012770743405539298,0.005638223607982487,2000
net_return_20d_hit_rate,v3_n2_stored_oos,spatial_p0080_l025_q50,0.5247524752475248,0.4666666666666667,-0.0580858085808581,-0.1206896551724137,0.011330912733191423,2000
net_return_60d_mean,v3_n2_stored_oos,spatial_p0080_l025_q50,0.04478480094014485,0.03544011964705017,-0.009344681293094681,-0.028043887045586635,0.006793652104957898,2000
net_return_120d_mean,v3_n2_stored_oos,spatial_p0080_l025_q50,0.08123497589515138,0.0694487503544279,-0.011786225540723491,-0.033246391313430185,0.007016249532698804,2000
net_return_252d_mean,v3_n2_stored_oos,spatial_p0080_l025_q50,0.15971677496357287,0.15316758184915483,-0.006549193114418039,-0.045630664371642815,0.020139752487174548,2000
overpay_median,v3_n2_stored_oos,spatial_p0080_l025_calibrated,0.017178960028486068,0.015639475783567836,-0.0015394842449182322,-0.008948241552489411,0.0020214885643126124,2000
overpay_mean,v3_n2_stored_oos,spatial_p0080_l025_calibrated,0.029585492361854534,0.023611225754799497,-0.005974266607055037,-0.014900149549030997,-1.843406231820388e-05,2000
within_0_8pct_rate,v3_n2_stored_oos,spatial_p0080_l025_calibrated,0.2623762376237624,0.3023255813953488,0.03994934377158643,-0.009410133225201744,0.08090019101360384,2000
net_return_20d_mean,v3_n2_stored_oos,spatial_p0080_l025_calibrated,-0.0008863516946093748,-0.005668331701622461,-0.004781980007013086,-0.014729106780688766,0.0036232569513365916,2000
net_return_20d_hit_rate,v3_n2_stored_oos,spatial_p0080_l025_calibrated,0.5247524752475248,0.46511627906976744,-0.05963619617775734,-0.11723432762146535,0.008150475391097188,2000
net_return_60d_mean,v3_n2_stored_oos,spatial_p0080_l025_calibrated,0.04478480094014485,0.033883960367005354,-0.010900840573139496,-0.031028428707965895,0.0037815734599702866,2000
net_return_120d_mean,v3_n2_stored_oos,spatial_p0080_l025_calibrated,0.08123497589515138,0.07224895773413181,-0.008986018161019571,-0.03437834255474497,0.009696793790934586,2000
net_return_252d_mean,v3_n2_stored_oos,spatial_p0080_l025_calibrated,0.15971677496357287,0.1584840051805108,-0.0012327697830620543,-0.0441196826663905,0.02752163428529121,2000
