variant,data_idx,decision_date,execution_date,entry_open,execution_overpay,mae_20d,gross_return_20d,net_return_20d,gross_return_60d,net_return_60d,gross_return_120d,net_return_120d,gross_return_252d,net_return_252d
stage1_nday2,1895,2020-02-03,2020-02-04,299.04215432222543,0.015602638640410005,-0.1296368761097918,-0.046362352854018685,-0.06524626665888966,-0.10937257442311643,-0.12700876106820325,-0.004629069415722609,-0.024339384872837044,0.18566468164576455,0.16218617309832362
stage1_nday2,1896,2020-02-25,2020-02-26,286.3811587759355,0.08825761041316715,-0.3012176746753782,-0.20987594710187663,-0.22552196795134438,-0.055910710323084145,-0.07460554774242911,0.08661490332093336,0.06509777652249915,0.23963919057638594,0.21509187987190304
stage1_nday2,1897,2020-02-26,2020-02-27,278.43268874388383,0.10955323294998132,-0.2812694049631276,-0.13986779641583524,-0.15690011727888808,-0.02711573413137114,-0.04638076909906663,0.12004929740561643,0.09787010339758417,0.26845790577608675,0.243339927443887
stage1_nday2,1898,2020-02-27,2020-02-28,263.15566832306206,0.04867436317992446,-0.23954481644327075,-0.11704145867496607,-0.1345257862259568,0.04204598040365548,0.02141140653427631,0.18013774319381093,0.1567686789721514,0.3746288112680902,0.3474084387677321
stage1_nday2,1899,2020-02-28,2020-03-02,271.8241810091955,0.08321835411417333,-0.2637958429024453,-0.11743869281266794,-0.13491515434113,0.023824972039812042,0.003551210217241252,0.14605990268045788,0.12336564718183474,0.3204068774671096,0.2942602066261768
stage1_nday2,1900,2020-03-02,2020-03-03,282.11517570579525,0.2089841460386781,-0.29065109114405907,-0.16230795728679348,-0.17889591852863918,-0.015342244326323917,-0.03484041770600088,0.10817136024558205,0.08622737291398619,0.2553897140061525,0.23053051174860495
stage1_nday2,1901,2020-03-03,2020-03-04,279.0342265229959,0.1957809615327879,-0.2828188335450823,-0.19117503015381532,-0.20719136619037348,-3.4072109479588164e-05,-0.019835377612262284,0.13176043016432093,0.1093493325373045,0.2535439885087625,0.22872133527096494
stage1_nday2,1902,2020-03-04,2020-03-05,277.995197331708,0.26453300076955544,-0.2801383118147037,-0.16941831170772537,-0.18586547385212704,0.007759873099081771,-0.012195767952385417,0.13996584235496412,0.1173922613182321,0.2813764234717189,0.25600263290792236
stage1_nday2,1903,2020-03-05,2020-03-06,267.2119174164198,0.21548246521966585,-0.2510884469769127,-0.14839020027329575,-0.1652537606639235,0.05710894059186988,0.036176090283119855,0.1978589388252412,0.17413895983860295,0.3264491610577418,0.3001828410367964
stage1_nday2,1904,2020-03-06,2020-03-09,250.94126219037892,0.16529075006970606,-0.20253014465677444,-0.03226478608892347,-0.05142785963171703,0.14063100575381515,0.11804425316463063,0.27831525456210926,0.253002081204444,0.43262039657670925,0.40425167585241795
stage1_nday2,1905,2020-03-09,2020-03-10,259.4549092564181,0.2048253968982814,-0.2286979936816993,-0.06306579805557011,-0.08161895056932122,0.10030507436079428,0.07851685506652117,0.2443553154737541,0.21971461615744214,0.394235956305931,0.3666273235077937
stage1_nday2,1906,2020-03-10,2020-03-11,255.86357750702288,0.18814840391803989,-0.2178719065510013,-0.01802167533704213,-0.03746679067690284,0.14434487295350396,0.12168457843957325,0.2572502226741997,0.23235417866084918,0.42813994919617526,0.39985995020219134
stage1_nday2,1907,2020-03-11,2020-03-12,233.34894558391483,0.11531364659937315,-0.14240841518333214,0.09310914630848721,0.07146342063901212,0.26992383634760553,0.24477682968725678,0.39153919066708887,0.3639839591687306,0.5680427530163961,0.5369924014715168
stage1_nday2,1908,2020-03-12,2020-03-13,239.8116563713259,0.1462027921114213,-0.1655197454257863,0.05393969734639459,0.03306960432963413,0.22648613431572606,0.20219928017086009,0.3736239774337886,0.3464235026331193,0.5348846132216545,0.5044908585043939
stage1_nday2,1909,2020-03-13,2020-03-16,219.84020754106757,0.05074733861875447,-0.08971113930000929,0.18359227725161587,0.16015480641495006,0.33044160291210956,0.3040962246366221,0.44684473124269286,0.4181943405250159,0.672209836550749,0.6390967704804369
stage1_nday2,1910,2020-03-16,2020-03-17,223.3586992105736,0.06756430672043856,-0.1040506021664076,0.14019458136234997,0.11761647084032334,0.23399289057980077,0.20955738779604238,0.4124254379163552,0.3844566173635562,0.6514806000279925,0.6187780138888244
stage1_nday2,1911,2020-03-17,2020-03-18,215.34648084640503,0.029269141260272358,-0.07071575410911268,0.1883218322250524,0.16479070683445718,0.2952328128544679,0.26958463834249824,0.42494916508434843,0.3967323499341633,0.6880033668907071,0.6545775576453465
stage1_nday2,1912,2020-03-18,2020-03-19,218.0809829271714,0.04233895599503135,-0.08236798379876265,0.2051227853280222,0.1812589677967742,0.2909326561630776,0.2653696332687592,0.4348682598025957,0.4064550269352174,0.6637534021757905,0.6308077902515175
stage1_nday2,1913,2020-03-19,2020-03-20,222.3707472149836,0.06284229548482156,-0.10007006512804606,0.1610520908421762,0.1380609603304499,0.29039680928954525,0.26484439722440567,0.38275385876989065,0.35537259423979384,0.6446864893638105,0.6121184400694775
stage1_nday2,1914,2020-03-20,2020-03-23,209.22271174158337,0.0,-0.04351640224518649,0.19654661044498623,0.17285261815894692,0.3657918244669176,0.3387464418042063,0.47039755581037945,0.4412807725270056,0.7342835223023563,0.699941274335973
