date,label,forward_return,proba,fold_id,fold_threshold
2005-10-28,0,0.05367232955306167,0.6767687201499939,0,0.28848761320114136
2005-10-31,0,0.04961314924372284,0.1574104130268097,0,0.28848761320114136
2005-11-01,0,0.040833362843392784,0.032735809683799744,0,0.28848761320114136
2005-11-02,0,0.04057508526536657,0.03144465759396553,0,0.28848761320114136
2005-11-03,0,0.0374580659035042,0.05149856582283974,0,0.28848761320114136
2005-11-04,0,0.0366064110820028,0.02912023290991783,0,0.28848761320114136
2005-11-07,0,0.03755182964329373,0.07591290771961212,0,0.28848761320114136
2005-11-08,0,0.03149794819768004,0.06451462209224701,0,0.28848761320114136
2005-11-09,0,0.02949673293340216,0.07465615123510361,0,0.28848761320114136
2005-12-15,0,0.012321835985640295,0.06785596907138824,0,0.28848761320114136
2005-12-16,0,0.011553896155797272,0.17076720297336578,0,0.28848761320114136
2005-12-19,0,0.020682625910144248,0.554014265537262,0,0.28848761320114136
2005-12-20,0,0.00111248632791483,0.5921062231063843,0,0.28848761320114136
2005-12-21,0,0.003094308936495427,0.5535959005355835,0,0.28848761320114136
2005-12-22,0,-0.0011051973920077618,0.0998249277472496,0,0.28848761320114136
2005-12-23,0,-0.0007884277908393189,0.03579697757959366,0,0.28848761320114136
2005-12-27,0,0.015063651852350368,0.6035431623458862,0,0.28848761320114136
2005-12-28,1,0.02218710179166039,0.6450747847557068,0,0.28848761320114136
2005-12-29,1,0.025960820517171523,0.6049744486808777,0,0.28848761320114136
2005-12-30,1,0.02401422845936385,0.3207043409347534,0,0.28848761320114136
2006-01-03,1,0.013338405510573415,0.14783720672130585,0,0.28848761320114136
2006-01-04,1,-0.0031420779573979596,0.11834331601858139,0,0.28848761320114136
2006-01-05,0,-0.008714310000243364,0.022039303556084633,0,0.28848761320114136
2006-01-06,0,-0.014325788460753275,0.022039303556084633,0,0.28848761320114136
2006-01-09,0,-0.02554977081791554,0.028819726780056953,0,0.28848761320114136
2006-01-10,0,-0.017688136044364366,0.028819726780056953,0,0.28848761320114136
2006-01-11,0,-0.0224270021752333,0.060038384050130844,0,0.28848761320114136
2006-01-12,0,-0.016769626479861355,0.10261352360248566,0,0.28848761320114136
2006-01-13,0,-0.01764118286664018,0.09596480429172516,0,0.28848761320114136
